Algo, Seed, TP, TPMute, TPImp, PF, PFMute, PFImp, MacroMutingFreq, MicroMutingFreq, MacroMutingGain, MicroMutingGain
uni_logs/160_newdep/ea_pf_pf_8_rollover-fix/muting_1.log, 1, 35.45, 37.04, 4.49, -130.7, -121.27, 7.21, 1.29, 0.99, 37.83, 48.89
uni_logs/160_newdep/ea_pf_diff_8_rollover-fix/muting_0.log, 0, 39.3, 39.39, 0.23, -124.96, -117.78, 5.75, 2.71, 1.0, 88.44, 122.36
uni_logs/160_newdep/ea_pf_diff_8_rollover-fix/muting_1.log, 1, 37.29, 38.61, 3.56, -141.05, -131.42, 6.83, 2.48, 0.99, 54.63, 334.67
uni_logs/160_newdep/ea_pf_pf_8_rollover-fix/muting_0.log, 0, 37.01, 38.29, 3.44, -123.88, -116.59, 5.88, 1.39, 0.96, 38.59, 45.38
uni_logs/160_newdep/ea_pf_pf_8_rollover-fix/muting_1.log, 1, 35.45, 37.04, 4.49, -130.7, -121.27, 7.21, 1.29, 0.99, 37.83, 48.89
uni_logs/160_newdep/ea_pf_diff_8_rollover-fix/muting_0.log, 0, 39.3, 39.39, 0.23, -124.96, -117.78, 5.75, 2.71, 1.0, 88.44, 122.36
uni_logs/160_newdep/ea_pf_diff_8_rollover-fix/muting_1.log, 1, 37.29, 38.61, 3.56, -141.05, -131.42, 6.83, 2.48, 0.99, 54.63, 334.67
uni_logs/160_newdep/ea_pf_pf_8_rollover-fix/muting_0.log, 0, 488.95, 505.43, 3.37, 53.01, 59.8, 12.82, 30.31, 13.3, 32.76, 28.63
uni_logs/160_newdep/ea_pf_pf_8_rollover-fix/muting_1.log, 1, 461.75, 484.01, 4.82, 45.76, 54.17, 18.37, 26.69, 14.31, 36.68, 28.18
uni_logs/160_newdep/ea_pf_diff_8_rollover-fix/muting_0.log, 0, 517.15, 496.79, -3.94, 28.46, 35.59, 25.05, 54.67, 16.85, 3630.76, 23184.57
uni_logs/160_newdep/ea_pf_diff_8_rollover-fix/muting_1.log, 1, 485.91, 480.74, -1.06, 8.34, 21.95, 163.2, 55.71, 17.97, 54.52, 18528.61
uni_logs/160_newdep/ea_pf_pf_8_rollover-fix/muting_0.log, 0, 488.95, 505.43, 3.37, 53.01, 59.8, 12.82, 30.31, 13.3, 32.76, 28.63
uni_logs/160_newdep/ea_pf_pf_8_rollover-fix/muting_1.log, 1, 461.75, 484.01, 4.82, 45.76, 54.17, 18.37, 26.69, 14.31, 36.68, 28.18
uni_logs/160_newdep/ea_pf_diff_8_rollover-fix/muting_0.log, 0, 517.15, 496.79, -3.94, 28.46, 35.59, 25.05, 54.67, 16.85, 3630.76, 23184.57
uni_logs/160_newdep/ea_pf_diff_8_rollover-fix/muting_1.log, 1, 485.91, 480.74, -1.06, 8.34, 21.95, 163.2, 55.71, 17.97, 54.52, 18528.61
uni_logs/160_newdep/ea_pf_pf_8_rollover-fix/muting_0.log, 0, 473.44, 489.42, 3.38, 50.11, 56.88, 13.52, 30.93, 13.05, 32.41, 27.61
uni_logs/160_newdep/ea_pf_pf_8_rollover-fix/muting_1.log, 1, 446.49, 467.52, 4.71, 42.81, 51.06, 19.26, 26.97, 14.12, 36.37, 27.17
uni_logs/160_newdep/ea_pf_diff_8_rollover-fix/muting_0.log, 0, 501.32, 479.56, -4.34, 20.65, 28.82, 39.6, 55.65, 16.78, 6255.86, 37349.06
uni_logs/160_newdep/ea_pf_diff_8_rollover-fix/muting_1.log, 1, 470.4, 462.4, -1.7, -0.7, 13.83, 2063.82, 56.96, 18.21, 3643.29, 19827.1
uni_logs/160_newdep/mu_pf_8_rollover/muting_0.log, 0, 473.44, 483.11, 2.04, 50.11, 53.34, 6.44, 14.3, 7.18, 195.64, 47.23
uni_logs/160_newdep/mu_pf_8_rollover/muting_1.log, 1, 446.49, 459.53, 2.92, 42.81, 47.04, 9.88, 13.54, 8.35, 256.14, 45.18
uni_logs/160_newdep/mu_diff_8_rollover/muting_0.log, 0, 501.32, 526.66, 5.05, 20.65, 14.1, -31.7, 31.02, 1.45, 136.34, 32.22
uni_logs/160_newdep/mu_diff_8_rollover/muting_1.log, 1, 470.4, 504.31, 7.21, -0.7, -2.59, -268.05, 37.46, 1.35, 168.74, 35.4
uni_logs/160_newdep/mu_pf_8_easy_tradeoff/muting_0.log, 0, 473.44, 483.11, 2.04, 50.11, 53.34, 6.44, 14.3, 7.18, 195.64, 47.23
uni_logs/160_newdep/mu_pf_8_easy_tradeoff/muting_1.log, 1, 446.49, 459.53, 2.92, 42.81, 47.04, 9.88, 13.54, 8.35, 256.14, 45.18
uni_logs/160_newdep/ea_pf_pf_8_rollover-fix/muting_0.log, 0, 473.44, 489.42, 3.38, 50.11, 56.88, 13.52, 30.93, 13.05, 32.41, 27.61
uni_logs/160_newdep/ea_pf_pf_8_rollover-fix/muting_1.log, 1, 446.49, 467.52, 4.71, 42.81, 51.06, 19.26, 26.97, 14.12, 36.37, 27.17
